Jeux,Description,Sortie,Test,Avis
Civilization V : Brave New World,"Brave New World est la seconde extension du jeu de gestion / stratégie Civilization V sur PC. Outre 9 nouvelles civilisations, des merveilles inédites et deux scénarios, elle apporte des routes commerciales, un Congrès Mondial dans lequel les joueurs votent des lois ainsi qu'une gestion du tourisme.",12 juillet 2013,17/20,16.2/20
Les Sims 2,"Jeu de gestion et de simulation de vie humaine, Les Sims 2 vous permet de créer, gérer et faire évoluer des personnages qui vous ressemblent ou... qui sont diamétralement opposés à votre personnalité. Fonder une famille, trouver un travail, vous passionner pour la peinture,... font partie des nombreuses choses que vous pouvez accomplir. Grâce à un système de personnalisation complet, vous pouvez mener la vie que vous souhaitez.",16 septembre 2004,17/20,17.4/20
This War of Mine,"Jeu de survie, This War of Mine vous permet d'incarner un groupe de civils qui doivent survivre le plus longtemps possible. Suivant un cycle, le principe du jeu repose sur deux grandes phases : le jour, où vous devez vous protéger de l'attaque des snipers, et le soir, où la recherche de nourriture devient votre objectif principal.",14 novembre 2014,17/20,16/20
Phantasmagoria,"Phantasmagoria est un jeu d'aventure de type horreur sur PC. Le couple de jeunes mariés Adrianne et Don viennent d'acquérir un manoir. Malheureusement, le manoir est complètement hanté. Votre mission est simple : vous devez échapper aux différents monstres qui occupent cette maison.",1995,17/20,17.5/20
Fallout New Vegas,"Fallout New Vegas est un RPG se passant dans un contexte post-apocalyptique. Le joueur possède une grande marge de manœuvre dans ses actions et ses choix, pouvant choisir la méthode douce pour parvenir à ses fins, ou au contraire la destruction massive par satellite.",22 octobre 2010,17/20,16.7/20
Frozen Synapse,"Frozen Synapse est un jeu de tactique disponible en téléchargement sur PC. Vous y dirigez une petite escouade en commandant individuellement le comportement de chacun de vos soldats. La campagne solo vous amène à remplir des objectifs variés tels que l'anéantissement de l'équipe adverse, des assassinats ciblés ou des missions d'escorte. Le mode multijoueur vous permet d'affronter d'autres joueurs dans des duels en ligne.",26 juin 2011,17/20,16/20
Catch-22 sur iOS,,25 septembre 2012,17/20,15.7/20
Söldner-X 2 : Final Prototype,Söldner-X 2 : Final Prototype est un jeu de tir à défilement horizontal disponible en téléchargement sur le PSN de la Playstation 3. Faites votre chemin à travers sept niveaux pour venir à bout de la menace Aarg. Le titre propose une option multijoueur en local qui vous permettra d'inviter un ami à vous prêter main forte.,26 mai 2010,17/20,15.2/20
Mechwarrior 4 : Vengeance sur PC,"La série des Mechwarrior fait son retour sur PC avec Mechwarrior 4 : Vengeance. En 3063, au coeur d'un conflit pour le pouvoir du royaume, vous prenez place à bord de robots pour batailler. Un mode didacticiel vous permet de vous familiariser avec le soft, avant d'entrer dans la trentaine de missions qu'il propose.",15 janvier 2001,17/20,17.7/20
World in Conflict sur PC,"World in Conflict sur PC est un jeu de stratégie dont l'action se déroule dans un passé alternatif, un passé qui voit la guerre froide se transformer en troisième guerre mondiale. A la tête de ses troupes, le joueur ne doit se concentrer que sur la manière d'aborder l'ennemi et de mener la bataille, la gestion de ressources n'étant pas véritablement au coeur de World in Conflict. Le titre propose en plus un mode multijoueur complet, jouable à 16.",21 septembre 2007,17/20,18.8/20
X-com : Terror from the Deep sur PC,"X-Com : Terror from the Deep est un jeu de gestion/stratégie sur PC. Suite de l'épisode à succès X-Com : Ennemy Unknown, Terror from the Deep vous envoie sur Terre quarante ans après la victoire sur les aliens. Toutefois, une nouvelle menace apparaît, et celle-ci vient du fond des océans. Reprenant la plupart des mécanismes du précédent volet, le titre ajoute néanmoins la dimension sous-marine à certaines missions.",1995,17/20,17.4/20
Oddworld : L'Exode d'Abe,"Oddworld : L'Exode d'Abe est un jeu d'action/aventure sur PC. Vous incarnez Abe dans un environnement de plates-formes représenté en 2D. Dans ce jeu, vous devez sauter, courir, monter et descendre de niveau en niveau, actionner des manettes, ouvrir des portes, prendre des ascenseurs... Abe va devoir faire face aux Glukons, et délivrer ses nombreux compatriotes détenus et obligés de travailler pour trouver des os. Vous devrez les aider à s'échapper.",30 novembre 1998,17/20,16.6/20
Tetris DS sur DS,"Tetris, le célèbre casse-tête à la musique entêtante, débarque sur DS avec un gameplay adapté à l'écran tactile de la console. Le but reste le même : empiler des blocs aux formes différentes pour faire des lignes qui ensuite disparaissent. Découvrez six modes de jeu différents, la possibilité de jouer jusqu'à dix avec une seule cartouche, des nouvelles grilles aux couleurs des jeux Nintendo ainsi qu'un mode puzzle avec plus de 200 tableaux à franchir.",21 avril 2006,17/20,16.7/20
Virtua Fighter 5,"Virtua Fighter 5 est un jeu de combat sur Playstation 3. Cinquième du nom, le titre renoue avec les personnages qui ont fait son histoire (Akira Yuki, Pai Chan ou encore le ninja Kagemaru) et en introduit de nouveaux pour un total de 18 combattants. Un mode quête est présent, pour vous permettre d'avancer à votre rythme et débloquer de nombreux bonus.",23 mars 2007,17/20,17.7/20
Battle Realms sur PC,"Battle Realms sur PC est un jeu de stratégie en 3D temps réel se déroulant dans l'univers médiéval japonais. La victoire passe par le développement de votre base. Ceci sous-entendant de récolter des ressources, de construire des bâtiments, d'avancer dans l'arbre des technologies et bien sûr de livrer des batailles.",29 novembre 2001,17/20,
Aliens versus Predator 2,"Les joueurs de Aliens versus Predator 2 sur PC peuvent prendre le contrôle d'un Alien, d'un Predator, ou un Marine sur la planète LV1201. Vous participerez donc à 3 campagnes différentes suivant votre race, réparties en 21 missions. Le combat peut aussi se poursuivre sur le mode multijoueur découpé en 6 modes comme le Deathmatch ainsi que la participation à des parties de chasse.",Décembre 2001,17/20,
Bivouac,Bivouac est un jeu d'action/simulation sur Amiga. Le but du jeu est de grimper au sommet d'une montagne par le biais de plusieurs pistes de difficulté variable.,1987,17/20,
Burnout 2 : Point of Impact,"Burnout 2 : Point of Impact est un jeu de courses sur Gamecube faisant la part belle aux crashs et aux accidents de la route. Parcourez les tracés au volant de votre bolide et traversez les carrefours à toute vitesse. Frôlez les voitures, roulez à contresens, dérapez, bref roulez comme un dingue pour rapporter un maximum de points et faire augmenter votre jauge de boost.",11 octobre 2002,17/20,18/20
Suikoden Tierkreis sur DS,"Suikoden Tierkreis sur DS nous invite à trouver et à recruter 108 héros aux compétences diverses pour combattre un régime totalitaire et découvrir notre véritable identité. A partir d'une vieille forteresse tranformée en camp de base, on devra explorer divers environnements, former des alliances avec d'autres peuples et bien entendu accomplir des dizaines de quêtes aux objectifs variés.",19 mars 2009,17/20,17/20
Need for Speed : Hot Pursuit,"Need for Speed : Hot Pursuit est un jeu de course de voitures orienté vers l'arcade. Dans le mode Carrière, le joueur peut participer à des courses en tout genre réparties en 24 épreuves. Le mode multijoueur permet également de jouer au policier et au chauffard avec un ami.",16 novembre 2010,17/20,16.3/20
Enemy Territory : Quake Wars,"Enemy Territory : Quake Wars est un FPS multijoueur sur PC. Il se déroule en 2060 sur une Terre envahie par les Stroggs, des cyborgs extraterrestres. Face à cette menace, la résistance s'organise dans la Force de Défense Mondiale. Les deux factions s'affrontent sur une douzaine de cartes où une équipe défend des objectifs tandis que l'autre tente de les détruire ou d'en prendre le contrôle. La victoire requiert une bonne coordination entre les différentes classes de personnages disponibles.",28 septembre 2007,17/20,16.5/20
Shogun : Total War sur PC,"Shogun : Total War est un jeu de stratégie sur PC. Vous vous retrouvez projeté dans le Japon du XVIe siècle au cours de la période du ""Sengoku Jidai"" : ""l'ère du pays en guerre"". Vous incarnez un des seigneurs de guerre au sein de l'un des sept clans du jeu. Hojo, Mori, Oda, Imagawa... ayant chacun leurs spécificités. Votre but sera de conquérir le vaste empire du soleil au moyen de votre gigantesque armée. Le soft peut accueillir jusqu'à 4 joueurs en ligne ou 8 en réseau local.",29 juin 2000,17/20,16.6/20
Orcs Must Die!,"Orcs Must Die! est un jeu d'action et de stratégie disponible en téléchargement sur PC. Votre mission, si vous l'acceptez, sera de défendre votre forteresse contre des hordes infinies d'orcs enragés. Pour ce faire, vous aurez à votre disposition une variété de pièges, d'armes et de dispositifs pour réduire en bouillie les malotrus et les refouler aux portes de votre demeure.",5 octobre 2011,17/20,17.2/20
Yakuza Zero : The Place of Oath,"Yakuza 0 est un jeu d'action-aventure jouable en solo. Le jeu vous place dans la peau de Kazuma Kiryu, un membre de gang accusé d'un meurtre dont il est innocent. De son côté Gorô Majima, responsable d'un cabaret lucratif, est face à un dilemme : tuer quelqu'un et retrouver son rang au sein des yakuzas ou faire fructifier son commerce.",24 janvier 2017,17/20,17.2/20
Warframe,"Warframe est un TPS gratuit se déroulant dans l'espace. Le joueur y incarne un guerrier Tenno utilisant une combinaison Warframe. Il doit mener à bien des missions dans tout le système solaire, en solitaire ou en coopération en ligne.",21 mars 2013,17/20,16.4/20
NHL 2002,NHL 2002 est un jeu de sport sur PC. Choisissez l'une des équipes de hockey disponibles et foncez sur la glace. Montrez vos talents et tentez des actions de folie pour obtenir des cartes offrant des bonus et bien d'autres choses encore.,4 octobre 2001,17/20,18.5/20
S.T.A.L.K.E.R. : Clear Sky sur PC,"Clear Sky sur PC est une préquelle au titre original S.T.A.L.K.E.R.. Dans ce jeu de tir à la première personne, l'action se déroule un an avant dans la Zone où vous découvrez 5 nouveaux lieux et des variantes d'endroits déjà connus. 8 factions tentent de prendre le contrôle de cette Zone, à vous de copiner et trahir les uns et les autres pour vous faire une place au soleil, aidé par un panel d'armes dévastatrices.",5 septembre 2008,17/20,16/20
Paper Sorcerer sur PC,"Paper Sorcerer est un jeu sur PC qui se concentre sur les aspects stratégie et party-building du RPG à l'ancienne. On y incarne un sorcier maléfique prisonnier du Librum, livre magique dont le héros tente de s'échapper en faisant appel à de nombreux sorts et à une phase d'exploration prononcée.",21 novembre 2013,17/20,17.8/20
Panzer Dragoon sur Saturn,"Panzer Dragoon est un jeu de tir sur Saturn. Le soft vous transporte dans un univers extraordinaire d'heroïc-fantasy. Vous chevauchez un dragon et vous devez tirer sur les ennemis qui foncent sur vous. De plus, quatre angles de vue différents vous offrent une bonne jouabilité.",30 août 1995,17/20,17.1/20
Tribes : Ascend,Tribes : Ascend est un jeu de tir à la première personne exclusivement multijoueur en téléchargement sur PC. Retrouvez les éléments caractéristiques de la série Tribes comme la possibilité d'utiliser un jetpack ou même de descendre les pentes en skiant.,12 avril 2012,17/20,18.2/20
Full Throttle,"Full Throttle sur PC et Mac, puis remasterisé sur PC, PS4, Vita, Mac et IOS est un jeu d'aventure très rock and roll où il faudra aider Ben à retrouver son gang de motards tout en déjouant le complot qui pèse sur la plus importante compagnie de moteurs. La progression du jeu se fera grâce aux dialogues, à l'utilisation d'objets et à quelques rares combats contre d'autres gangs.",1995,17/20,17.1/20
Bad Piggies,Bad Piggies est un jeu d'adresse et de réflexion sur PC. Les cochons d'Angry Birds tentent de prendre leur revanche sur les oiseaux adeptes de la catapulte. Le principe consiste à construire un véhicule qui doit se déplacer selon les lois de la physique tout en ramassant un maximum d'étoiles.,27 septembre 2012,17/20,17.1/20
Neverwinter Nights,Neverwinter Nights est un jeu de rôle sorti sur PC. Une terrible épidémie ronge la cité de Padhiver et c'est à votre équipe de héros de partir en quête d'ingrédients pour soigner le mal. Ce jeu utilise la 3ème édition des règles de Dungeons & Dragons et vous permettra de jouer en ligne.,20 septembre 2002,17/20,19/20
